mountain_name,elevation_ft,prominence_ft,image_dir,latitude,longitude
Primus Peak,8508,828,images/Primus Peak,48.58207,-121.09123
Ptarmigan Peak,8614,894,images/Ptarmigan Peak,48.86597,-120.53205
Raven Ridge,8580,1100,images/Raven Ridge,48.23791,-120.33185
Remmel Mountain,8685,4365,images/Remmel Mountain,48.9234,-120.1968
Reynolds Peak,8512,2032,images/Reynolds Peak,48.3723,-120.563
Robinson Mountain,8726,1686,images/Robinson Mountain,48.7268,-120.5751
Sahale Mountain,8680,80,images/Sahale Mountain,48.49141,-121.03839
Saska Peak,8404,644,images/Saska Peak,48.11208,-120.6426
Seven Fingered Jack,9100,380,images/Seven Fingered Jack,48.15049,-120.81431
Sherman Peak,10160,400,images/Sherman Peak,48.76748,-121.81398
Sherpa Peak,8605,405,images/Sherpa Peak,47.47206,-120.8887
Silver Star Mountain,8876,2436,images/Silver Star Mountain,48.5479,-120.5851
Sinister Peak,8440,840,images/Sinister Peak,48.29984,-121.00962
Snowfield Peak,8347,2907,images/Snowfield Peak,48.6353,-121.1388
South Spectacle Butte,8392,1072,images/South Spectacle Butte,48.12649,-120.75974
Star Peak,8690,1170,images/Star Peak,48.2507,-120.42843
Storm King,8520,600,images/Storm King,48.49159,-120.92286
Switchback Peak,8321,441,images/Switchback Peak,48.17562,-120.35821
Tower Mountain,8444,2884,images/Tower Mountain,48.5885,-120.7042
Tupshin Peak,8320,1080,images/Tupshin Peak,48.29708,-120.75038
West Craggy,8366,686,images/West Craggy,48.76236,-120.34565
Windy Peak,8334,1771,images/Windy Peak,48.9283,-119.9706
